Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
Authorised landfill sites,Backlog,,,,,,,,,,,,,,✓,,,,,"Areas of land that are used to dump rubbish, either directly on the ground or filling in an unwanted hole",,,✓,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,
Battlefields,On the platform,,,,,,,✓,✓,,,,✓,,,,,,,Areas registered with Historic England as a battlefield of historical significance,,,✓,,,,,No,,Historic England,Historic England,Single,Small,,,Registered Battlefields,https://historicengland.org.uk/listing/the-list/data-downloads,https://historicengland.org.uk/content/data-downloads-gis/battlefields/,,,Development consent orders (NSIP);Environmental planning assessment,,
Best and most versatile agricultural land,Backlog,,,,,,,,✓,,,,✓,,,,,,,Land considered the most capable of growing crops for food and non-food uses,,,✓,,,,,,,DEFRA,,,,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
BGS geological indicators of flooding,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS geological map scans,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology 10k,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology 250k,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology 25k,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology 50k,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology 625k,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS Geology: superficial thickness,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS groundwater flooding,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS infiltration SuDS,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS mineral resources,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS mining hazards (not including coal),Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS permeability,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
BGS soil chemistry for environmental assessments,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Biodiversity net gain,Prioritised backlog,,,,,,,,,,,✓,,,,,,,,Biodiversity net gain (BNG) is a strategy to develop land and contribute to the recovery of nature. It's a way of making sure the habitat for wildlife is in a better state than it was before development,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity net gain assessments,Backlog,,,,,,,,,,,✓,,,,,,,,,,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,
Biosphere reserves,Backlog,,,,,,,,,,,,,,,,,,,Areas where local people model how we can live with nature and use its resources sustainably. They are designated by UNESCO (United Nations Educational Scientific and Cultural Organisation),,,,,,,,,UNESCO,Natural England,,,,,,,,,,,,,
Borehole scans,Backlog,,,,,,,,,,,,,,,,,,,"Scanned images of the records of all onshore Great Britain (or near shore) boreholes, trial pits, shafts and wells",,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Bowling greens,Backlog,,,,,,,,,,,,,,✓,,,,,"Areas of very smooth, short grass on which the game of bowls or lawn bowling is played",,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,
Britpits mines & quarries,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Brownfield land,On the platform,,,,,,,✓,✓,,,,,,,,,,✓,Previously developed land that's no longer being used,Development Management,https://www.legislation.gov.uk/uksi/2017/403/contents/made,✓,✓,,,,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Annually,Planning applications & decisions;Site allocations,,,,,,Development consent orders (NSIP),12,28
Building preservation notices,On the platform,,,,,,,✓,,,,,,,,,,,,A notice to stop un-listed buildings of special architectural or historic interest from being demolished or altered in a way that affacts the character of the building,,,✓,,,✓,,,,Historic England,Historic England,Single,Small,,,,,,,,Local plans,,
Built up areas,Backlog,,,,,,,,,,,,,,,,,,✓,"Land which is characteristic of a village, town or city",,,,,,,,,,,,,,,,,https://data.gov.uk/dataset/15e3be7f-66ed-416c-b0f2-241e87668642/built-up-areas-december-2011-boundaries-v2,,,,,,
Canals,Backlog,,,,,,,,,,,,,,,,,,,Human-made waterways that allow boats and ships to pass from one body of water to another ,,,,,,,,,,Canal and Riover Trust,,,,,,,,,,,,,
CASI multispectral imagery,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Cemetery,Backlog,,,,,,,,,,,,,,✓,,,,,A cemetery provided and maintained by a burial authority,,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,
Central activty zones,On the platform,,,,✓,,,,,,,,,,,,,,,Central areas of London with implications for planning designated by the Greater London Authority (GLA),,,✓,,,,,,,Greater London Authority,Greater London Authority;Local planning authorities,Multiple,Small,,,,,,,,Open planning software,,
Central government buildings,Backlog,,,,,,,,✓,,,,,,,,,,✓,Buildings that the UK central government owns or occupies,,,✓,,,,,,,,,,,,,,,https://www.data.gov.uk/dataset/c186e17f-654d-4134-aed7-b3f13469546a/central-government-welsh-ministers-and-local-government-including-property-and-land,,,Development consent orders (NSIP),,
Certificate of immunity,On the platform,,,,,,,✓,,,,,,,,,,,,A guarantee that a building or buildings will not be newly listed or given a building preservation notice for the next 5 years,,,✓,✓,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Local plans,,
Clinics,Backlog,,,,,,,,,,,,,,,,,,,Buildings which people can go to for medical care or advice,,,,,,,,,,NHS,,,,,,,,,,,,,
Classified roads,Backlog,Phase 1,https://docs.google.com/document/d/199-f6cigd4WcQm2jFDlb7qt3HrriLPkvY95qNzbQ-34/edit#heading=h.lb9do641w06g,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Authority managed tips,Backlog,,,,,,,,,,,,,,,,,,,Disused colliery tip sites owned and managed by the Coal Authority ,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Coal Authority Mine water treatment schemes,Backlog,,,,,,,,,,,,,,,,,,,Locations where mine water is treated to improve water quality in polluted rivers,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Coalfield,Backlog,,,,,,,✓,,,,,,,,,,,,A coal mining area that could contain unrecorded hazards,,,,,,,,,Coal Authority,Coal Authority,,,,,,,,,,,Local plans,,
Coalfield consultation area,Backlog,,,,,,,,,,,,,,,,,,,Areas where the Coal Authority recommends a mining search report is required for property conveyancing or development,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Coastal change management areas,Backlog,,,,,,,,,,,,,,,,,,,Areas identified as likely to be affected by physical change to the shoreline through erosion,,,✓,,,,,,,,,,,,,,,,,,Local plans,,
Coastal flood boundary surge areas,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Coastal topographic surveys,Backlog,,,,,,,,,,,,,,,,,,,"Surveys covering beaches, dunes, cliffs, saltmarshes and coastal defence structures",,,,,,,,,,Environment Agency,,,,,,,,,,,,,
COMAH – major hazard sites,Backlog,,,,,,,✓,,,,,,,,,,,,Sites storing or handling large quantities of chemicals or hazardous substances that are covered by the Control of Major Accident Hazards (COMAH) Regulations ,,,✓,,,,,,,Health and Safety Executive,,Multiple,Small,,,,,,,,Local plans,,
Common land and village greens,Backlog,,,,,,,,,,,,,,,,,,,"Areas of open space that have been used for recreation by the inhabitants of the town, village or parish for generations  ",,,✓,,,,,,,DEFRA,,,,,,,,,,,,,
Community infrastructure levy (CIL) zones,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completion notices,Backlog,,,,,,,,,,,,,,,,,,,Documents that set a date when work on a new building or conversion should be complete,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Compulsory purchase orders,Backlog,,,,,,,,,,,,,,,,,,,Orders that allow a public authority to acquire land without the consent of the owner,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Conservation areas,Piloting,,,,✓,,,✓,✓,,,,✓,,,,,,,An area of special architectural or historic interest with a character or appearance that must be preserved or enhanced ,,,✓,,,✓,,Yes,,Local planning authorities,Local planning authorities;Historic England; Digital Land,Multiple,Large,,,,,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,8,33
Contaminated land,Backlog,,,,,,,,,,,,,,,,,,,"Land where substances are causing or could cause:

- significant harm to people, property or protected species
- significant pollution of surface waters (for example lakes and rivers) or groundwater
- harm to people as a result of radioactivity",,,✓,,,,,,,,,,,,,,,,,,,,
Contravention of building notices,Backlog,,,,,,,,,,,,,,,,,,,"Notices requiring work that does not comply with building regulations to be pulled down or removed, or for additional work to be carried out to make it comply",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Control of major accident and hazard sites,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,,,✓,,,,,,,,,,,,,,,,,
Council wards,Backlog,,,,,,,,,,,,,,,,,,✓,Local areas that have been divided for voting purposes,,,,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/boundary-line,,,,,,
Country parks,Backlog,,,,,,,,,,,,,,✓,,,,✓,Areas of countryside set aside for public recreation,,,✓,,,,,,,DEFRA,,,,,,,https://data.gov.uk/dataset/e729abb9-aa6c-42c5-baec-b6673e2b3a62/country-parks-england,,,,Environmental planning assessment,,
Countryside stewardship scheme agreements,Backlog,,,,,,,,,,,,,,,,,,,"Previous agreements that provided financial incentives for farmers, foresters and land managers to look after and improve their environments",,,,,,,,,,Natural England,,,,,,,,,,,,,
